ZIPCODE,Food Services and Drinking Places,Non-essential Retail,Personal Care Services,Our Industries,Total Industries,Not in Study
94002,67.0,4.0,16.0,103,685,582
94005,10.0,0.0,0.0,20,283,263
94010,76.0,7.555555555555555,35.5,291,2252,1961
94014,79.0,6.166666666666667,6.0,128,621,493
94015,65.0,9.428571428571429,15.0,226,881,655
94019,48.0,4.666666666666667,10.0,96,475,379
94022,33.5,6.0,11.5,120,896,776
94024,17.0,0.0,6.0,29,469,440
94025,110.0,6.428571428571429,26.0,207,1718,1511
94027,4.0,0.0,3.0,7,168,161
94028,8.0,0.0,4.0,12,175,163
94030,54.5,0.0,11.5,132,563,431
94038,4.0,0.0,0.0,4,48,44
94040,100.0,4.833333333333333,19.0,167,993,826
94043,153.0,3.3333333333333335,6.5,176,1194,1018
94044,37.0,3.6666666666666665,13.5,112,605,493
94061,40.0,3.6666666666666665,11.0,73,588,515
94062,23.0,0.0,13.0,36,675,639
94063,84.5,5.9,27.5,283,1677,1394
94065,36.0,0.0,0.0,36,437,401
94066,121.0,6.5,16.0,205,1001,796
94070,53.0,6.25,21.0,198,1384,1186
94080,108.5,7.166666666666667,21.5,303,2305,2002
94085,85.0,0.0,4.0,93,849,756
94086,55.0,3.5,18.0,135,943,808
94087,69.5,4.75,28.0,233,1175,942
94089,64.0,3.0,5.0,72,588,516
94102,137.5,14.875,31.5,457,1769,1312
94103,171.0,25.5,40.5,678,3183,2505
94104,90.0,4.0,33.0,135,2149,2014
94105,84.5,4.0,55.0,240,2425,2185
94107,103.5,6.714285714285714,45.0,344,2456,2112
94108,97.0,25.0,35.5,465,1728,1263
94109,152.5,7.857142857142857,41.5,443,1753,1310
94110,205.0,9.7,36.5,580,2169,1589
94111,94.5,6.166666666666667,56.0,282,2706,2424
94112,59.0,3.0,18.0,157,858,701
94114,86.0,7.125,32.0,293,1117,824
94115,79.5,10.0,36.0,311,1272,961
94116,44.5,3.0,9.5,114,692,578
94117,82.0,9.428571428571429,26.5,283,966,683
94118,97.0,9.857142857142858,30.0,323,1288,965
94121,64.0,3.0,13.5,170,785,615
94122,108.0,4.857142857142857,16.5,283,1121,838
94123,84.5,10.25,46.5,344,1135,791
94124,34.0,5.333333333333333,12.0,108,1302,1194
94127,26.0,5.0,16.5,90,494,404
94128,46.0,0.0,9.0,55,174,119
94129,18.0,4.0,0.0,22,299,277
94131,31.0,0.0,10.5,52,428,376
94132,68.0,8.2,12.0,121,477,356
94133,141.5,11.222222222222221,27.0,438,1397,959
94134,50.0,0.0,16.0,66,390,324
94301,122.0,10.5,15.5,216,1375,1159
94303,48.0,3.0,3.5,64,967,903
94304,42.0,11.333333333333334,3.0,113,478,365
94305,30.0,4.0,0.0,34,117,83
94306,93.0,3.3333333333333335,15.0,133,1006,873
94401,93.5,4.8,23.0,257,1126,869
94402,39.0,3.5,9.5,65,1006,941
94403,114.0,11.625,23.5,254,1177,923
94404,78.0,3.0,10.5,105,912,807
94501,104.5,8.5,44.5,366,1526,1160
94502,13.0,0.0,4.0,17,259,242
94503,23.0,0.0,9.0,32,302,270
94506,35.0,3.0,12.0,56,466,410
94507,24.0,0.0,16.0,40,441,401
94509,43.0,7.428571428571429,21.0,159,934,775
94510,34.0,4.75,14.0,115,872,757
94513,69.5,9.833333333333334,31.0,260,1223,963
94514,4.0,0.0,0.0,4,62,58
94517,11.0,0.0,4.0,15,179,164
94518,19.0,0.0,5.5,30,478,448
94519,21.0,0.0,13.0,34,305,271
94520,93.0,13.0,26.5,369,2041,1672
94521,53.0,3.75,15.5,99,567,468
94523,56.5,9.142857142857142,21.5,220,1132,912
94525,3.0,0.0,0.0,3,46,43
94526,48.0,6.375,19.0,185,1065,880
94530,32.0,4.0,14.0,94,549,455
94531,43.0,4.6,17.0,83,467,384
94533,70.5,10.7,19.0,286,1298,1012
94535,7.0,0.0,0.0,7,52,45
