,LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate,zip_code_5,Minority,YearApproved,NAICS_6,LongName,IndustrySubsector,NAICS_4,BorrowerName - Clean
16,8712608401,02/13/2021,912.0,PPS,E & L RESTAURANT INC,1183 S De Anza Blvd Ste 30,San Jose,CA,95129-3659,0,Exemption 4,60,100,149800.0,149800.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,Existing or more than 2 years old,San Jose,SANTA CLARA,CA,95129-3659,CA-18,25,722511.0,Asian,Not Hispanic or Latino,1.0,149798.0,0.0,0.0,0.0,0.0,0.0,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Female Owned,Non-Veteran,,0.0,,95129.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,E & L RESTAURANT
17,6891887904,06/16/2020,912.0,PPP,LYC RESTAURANT INC.,1540 Ocean Ave,San Francisco,CA,94112-1716,0,Exemption 4,60,100,149766.0,149766.0,0.0,,433860.0,Quontic Bank,31-05 Broadway,NEW YORK CITY,NY,11106,U,N,N,Unanswered,San Francisco,SAN FRANCISCO,CA,94112-1716,CA-14,29,722511.0,Asian,Not Hispanic or Latino,0.0,149766.0,0.0,0.0,0.0,0.0,0.0,Subchapter S Corporation,529111.0,"FC Marketplace, LLC (dba Funding Circle)",San Francisco,CA,Male Owned,Non-Veteran,,0.0,,94112.0,Yes,2020,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,LYC RESTAURANT
26,9710907402,05/20/2020,912.0,PPP,WOODS ORIGINS,6154 BOLLINGER RD,SAN JOSE,CA,95129-3068,0,Exemption 4,24,100,149510.0,149510.0,0.0,,5564.0,GBC International Bank,333 S Grand Ave Suite 3500,LOS ANGELES,CA,90071,U,N,N,Unanswered,SAN JOSE,SANTA CLARA,CA,95129-3068,CA-17,10,722511.0,Asian,Not Hispanic or Latino,2000.0,129510.0,0.0,18000.0,0.0,0.0,0.0,Corporation,5564.0,GBC International Bank,LOS ANGELES,CA,Male Owned,Non-Veteran,,150914.98,05/05/2021,95129.0,Yes,2020,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,WOODS ORIGINS
32,3745407103,04/12/2020,912.0,PPP,SAMURAI JAPANESE RESTAURANT INC,5007 Lone Tree Way,Antioch,CA,94531-8690,03/19/2021,Paid in Full,24,100,149447.0,149447.0,0.0,,456756.0,Cross River Bank,885 Teaneck Rd,TEANECK,NJ,07666-4546,U,N,N,Existing or more than 2 years old,Antioch,CONTRA COSTA,CA,94531-8690,CA-09,25,722511.0,Asian,Not Hispanic or Latino,0.0,149447.0,0.0,0.0,0.0,0.0,0.0,Corporation,456756.0,Cross River Bank,TEANECK,NJ,Male Owned,Non-Veteran,,150568.88,02/16/2021,94531.0,Yes,2020,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,SAMURAI JAPANESE RESTAURANT
33,6685727803,06/02/2020,912.0,PPP,"RISTORANTE BUON GUSTO, INC",224 Grand Avenue,South San Francisco,CA,94080,04/29/2021,Paid in Full,24,100,149405.0,149405.0,0.0,,529253.0,"Fundbox, Inc.","560 Mission Street, 13th Floor",San Francisco,CA,94105,U,Y,Y,Existing or more than 2 years old,South San Francisco,SAN MATEO,CA,94080-0001,CA-14,23,722511.0,Black or African American,Not Hispanic or Latino,0.0,149405.0,0.0,0.0,0.0,0.0,0.0,Subchapter S Corporation,529253.0,"Fundbox, Inc.",San Francisco,CA,Male Owned,Non-Veteran,,150608.54,03/29/2021,94080.0,Yes,2020,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,RISTORANTE BUON GUSTO
35,6336148401,02/10/2021,912.0,PPS,INDELICATO INC.,5546 Geary Blvd,San Francisco,CA,94121-2209,0,Exemption 4,60,100,149327.0,149327.0,0.0,,474333.0,First Republic Bank,111 Pine St,SAN FRANCISCO,CA,94111-5602,U,Y,N,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94121-2209,CA-12,12,722511.0,Asian,Unknown/NotStated,1.0,149324.0,0.0,0.0,0.0,0.0,0.0,Corporation,474333.0,First Republic Bank,SAN FRANCISCO,CA,Unanswered,Unanswered,,0.0,,94121.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,INDELICATO
51,3667718309,01/22/2021,912.0,PPS,HIKARI JAPANESE RESTAURANT INC,490 El Camino Real Ste 140,Redwood City,CA,94062-1781,0,Exemption 4,60,100,148932.0,148932.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,Existing or more than 2 years old,Redwood City,SAN MATEO,CA,94062-1781,CA-14,25,722511.0,Asian,Not Hispanic or Latino,1.0,148930.0,0.0,0.0,0.0,0.0,0.0,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Female Owned,Non-Veteran,,0.0,,94062.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,HIKARI JAPANESE RESTAURANT
74,7981537107,04/14/2020,912.0,PPP,BINIS KITCHEN LLC,1001 HOWARD ST,SAN FRANCISCO,CA,94103,05/21/2021,Paid in Full,24,100,148372.0,148372.0,0.0,,53803.0,"U.S. Bank, National Association",425 Walnut St,CINCINNATI,OH,45202-3956,U,Y,Y,Existing or more than 2 years old,SAN FRANCISCO,SAN FRANCISCO,CA,94103-0002,CA-12,17,722513.0,Asian,Not Hispanic or Latino,0.0,148372.0,0.0,0.0,0.0,0.0,0.0,Corporation,53803.0,"U.S. Bank, National Association",CINCINNATI,OH,Female Owned,Non-Veteran,,149929.91,04/30/2021,94103.0,Yes,2020,722513.0,Limited-Service Restaurants ,Restaurants and Other Eating Places,7225.0,BINIS KITCHEN
92,1429438510,02/18/2021,912.0,PPS,ORALE ORALE INC,113 Sacramento St,San Francisco,CA,94111-4001,0,Exemption 4,60,100,147574.0,147574.0,0.0,,12096.0,"Wells Fargo Bank, National Association",101 N Philips Ave,SIOUX FALLS,SD,57104-6738,U,N,Y,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94111-4001,CA-12,15,722511.0,Unanswered,Hispanic or Latino,1.0,147570.0,0.0,0.0,0.0,0.0,0.0,Corporation,12096.0,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,Unanswered,Unanswered,,0.0,,94111.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,ORALE ORALE
111,7226848403,02/11/2021,912.0,PPS,C27 SUSHI LOUNGE INC,1497 Church St,San Francisco,CA,94131-2049,0,Exemption 4,60,100,147216.0,147216.0,0.0,,59698.0,Umpqua Bank,"445 SE Main St, First Fl",ROSEBURG,OR,97470-4934,U,N,N,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94131-2049,CA-12,10,722511.0,Asian,Not Hispanic or Latino,0.0,147216.0,0.0,0.0,0.0,0.0,0.0,Subchapter S Corporation,59698.0,Umpqua Bank,ROSEBURG,OR,Male Owned,Non-Veteran,,0.0,,94131.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,C27 SUSHI LOUNGE
